timestamp,subject_id,status,pre_threat,cog_load,action
2026-05-25T22:52:27.364675,subj_0,CRITICAL_THREAT,80.65,34.35,INTERCEPT
2026-05-25T22:52:28.234593,subj_0,SPOOF_DETECTED,42.39,35.47,VERIFY_LIVENESS
2026-05-25T22:52:29.374020,subj_0,SPOOF_DETECTED,42.92,35.96,VERIFY_LIVENESS
2026-05-25T22:52:31.075895,subj_0,SPOOF_DETECTED,44.24,37.56,VERIFY_LIVENESS
2026-05-25T22:52:32.135313,subj_0,SPOOF_DETECTED,44.26,37.59,VERIFY_LIVENESS
2026-05-25T22:52:35.807837,subj_0,ELEVATED,45.11,18.89,HEIGHTENED_AWARENESS
2026-05-25T22:52:35.853521,subj_0,ELEVATED,45.07,18.83,HEIGHTENED_AWARENESS
2026-05-25T22:52:35.901637,subj_0,ELEVATED,45.03,18.79,HEIGHTENED_AWARENESS
2026-05-25T22:52:37.333518,subj_0,ELEVATED,45.04,28.18,HEIGHTENED_AWARENESS
2026-05-25T22:52:37.381322,subj_0,ELEVATED,45.08,38.09,HEIGHTENED_AWARENESS
2026-05-25T22:52:37.430212,subj_0,ELEVATED,45.08,47.99,HEIGHTENED_AWARENESS
2026-05-25T22:52:37.476955,subj_0,ELEVATED,45.07,57.86,HEIGHTENED_AWARENESS
2026-05-25T22:52:37.523874,subj_0,ELEVATED,45.03,67.73,HEIGHTENED_AWARENESS
2026-05-25T22:52:37.570100,subj_0,STRESSED,45.00,77.61,OBSERVE
2026-05-25T22:52:37.605346,subj_0,STRESSED,44.96,87.49,OBSERVE
2026-05-25T22:52:37.655968,subj_0,STRESSED,44.94,97.37,OBSERVE
2026-05-25T22:52:37.700495,subj_0,STRESSED,44.94,100.00,OBSERVE
2026-05-25T22:52:37.743595,subj_0,STRESSED,44.91,100.00,OBSERVE
2026-05-25T22:52:37.794957,subj_0,STRESSED,44.86,100.00,OBSERVE
2026-05-25T22:52:37.841362,subj_0,STRESSED,44.80,100.00,OBSERVE
2026-05-25T22:52:37.886484,subj_0,STRESSED,44.70,100.00,OBSERVE
2026-05-25T22:52:37.936028,subj_0,STRESSED,44.57,100.00,OBSERVE
2026-05-25T22:52:37.979796,subj_0,STRESSED,44.40,100.00,OBSERVE
2026-05-25T22:52:38.024262,subj_0,STRESSED,44.23,100.00,OBSERVE
2026-05-25T22:52:38.074505,subj_0,STRESSED,44.08,100.00,OBSERVE
2026-05-25T22:52:38.120090,subj_0,STRESSED,43.97,100.00,OBSERVE
2026-05-25T22:52:38.167108,subj_0,STRESSED,43.89,100.00,OBSERVE
2026-05-25T22:52:38.212240,subj_0,STRESSED,43.72,100.00,OBSERVE
2026-05-25T22:52:38.258302,subj_0,STRESSED,43.51,100.00,OBSERVE
2026-05-25T22:52:38.308607,subj_0,STRESSED,43.29,100.00,OBSERVE
2026-05-25T22:52:38.354881,subj_0,STRESSED,43.05,100.00,OBSERVE
2026-05-25T22:52:38.404293,subj_0,STRESSED,42.78,100.00,OBSERVE
2026-05-25T22:52:38.447395,subj_0,STRESSED,42.50,100.00,OBSERVE
2026-05-25T22:52:38.501969,subj_0,STRESSED,42.29,100.00,OBSERVE
2026-05-25T22:52:38.543855,subj_0,STRESSED,42.12,100.00,OBSERVE
2026-05-25T22:52:38.589743,subj_0,STRESSED,42.03,100.00,OBSERVE
2026-05-25T22:52:38.638272,subj_0,STRESSED,42.12,100.00,OBSERVE
2026-05-25T22:52:38.685281,subj_0,STRESSED,42.17,100.00,OBSERVE
2026-05-25T22:52:38.734324,subj_0,STRESSED,42.30,100.00,OBSERVE
2026-05-25T22:52:38.780883,subj_0,STRESSED,42.41,100.00,OBSERVE
2026-05-25T22:52:38.824526,subj_0,STRESSED,42.51,100.00,OBSERVE
2026-05-25T22:52:38.868705,subj_0,ELEVATED,60.28,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:38.902488,subj_0,STRESSED,42.71,100.00,OBSERVE
2026-05-25T22:52:38.950568,subj_0,ELEVATED,73.93,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:38.994481,subj_0,ELEVATED,54.30,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:39.040735,subj_0,STRESSED,42.97,100.00,OBSERVE
2026-05-25T22:52:39.088373,subj_0,STRESSED,43.03,100.00,OBSERVE
2026-05-25T22:52:39.136327,subj_0,STRESSED,43.08,100.00,OBSERVE
2026-05-25T22:52:39.186576,subj_0,STRESSED,43.13,100.00,OBSERVE
2026-05-25T22:52:39.234334,subj_0,STRESSED,43.16,100.00,OBSERVE
